track_id,times_in_daily_chart,top_peak_pos,avg_chart_pos,total_streams,January_streams,February_streams,March_streams,April_streams,May_streams,June_streams,July_streams,August_streams,September_streams,October_streams,November_streams,December_streams,popularity,explicit,name,artist_name,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0VjIjW4GlUZAMYd2vXMi3b,285,1.0,11.0,46283609.0,,,3321178.0,7984000.0,6683974.0,5349542.0,4757398.0,4135458.0,3646201.0,3352184.0,3164694.0,3888980.0,91,False,Blinding Lights,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,0.514,0.73,1.0,-5.934,1.0,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040.0,4.0
7ytR5pFWmSjzHJIeQkgog4,258,1.0,12.0,42410388.0,,,,1556177.0,7379725.0,7588398.0,6742816.0,5367538.0,4336151.0,3651966.0,2872263.0,2915354.0,84,True,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch","4r63FhuTkUYltbVAg5TQnk, 757aE44tKEUQEqRuT6GnEB",0.746,0.69,11.0,-7.956,1.0,0.164,0.247,0.0,0.101,0.497,89.977,181733.0,4.0
6UelLqGlWMcVH1E5c4H7lY,365,3.0,28.0,41150906.0,3299966.0,1956085.0,2021881.0,1598206.0,2340511.0,4551596.0,5168833.0,4733404.0,4490714.0,4153986.0,3635839.0,3199885.0,88,False,Watermelon Sugar,Harry Styles,6KImCVD70vtIoJWnq6nGn3,0.548,0.816,0.0,-4.209,1.0,0.0465,0.122,0.0,0.335,0.557,95.39,174000.0,4.0
1rgnBhdG2JDFTbYkYRZAku,365,1.0,28.0,40097144.0,6997881.0,5493754.0,4411784.0,3545778.0,2983655.0,2650913.0,2556109.0,2386992.0,2265480.0,2210889.0,2102662.0,2491247.0,77,False,Dance Monkey,Tones And I,2NjfBq1NflQcKSeiDooVjY,0.826,0.593,6.0,-6.401,0.0,0.0976,0.688,0.000161,0.17,0.541,98.083,209755.0,4.0
21jGcNKet2qwijlDFuPiPb,365,3.0,30.0,38630174.0,6160965.0,5173080.0,4614124.0,3609063.0,3157655.0,2672611.0,2440093.0,2261547.0,2148558.0,2174184.0,2046836.0,2171458.0,86,False,Circles,Post Malone,246dkjvS1zLTtiykXe5h60,0.695,0.762,0.0,-3.497,1.0,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280.0,4.0
0nbXyq5TXYPCO7pr3N8S4I,363,1.0,54.0,37952960.0,6279153.0,6837614.0,5895432.0,4304809.0,3297968.0,2575354.0,1980252.0,1556154.0,1334904.0,1268644.0,1222139.0,1400537.0,83,True,The Box,Roddy Ricch,757aE44tKEUQEqRuT6GnEB,0.896,0.586,10.0,-6.687,0.0,0.0559,0.104,0.0,0.79,0.642,116.971,196653.0,4.0
24Yi9hE78yPEbZ4kxyoXAI,215,1.0,20.0,36689467.0,1723591.0,2688655.0,5633637.0,8291937.0,7029160.0,5809238.0,5205216.0,308033.0,,,,,83,True,Roses - Imanbek Remix,"SAINt JHN, Imanbek","0H39MdGGX6dbnnQPt6NQkZ, 5rGrDvrLOV2VV8SCFVGWlj",0.77,0.724,8.0,-5.484,1.0,0.0495,0.0167,0.0107,0.353,0.898,121.975,176840.0,4.0
2gMXnyrvIjhVBUZwvLZDMP,365,9.0,30.0,36134429.0,4635394.0,4427819.0,4022928.0,3221892.0,3066362.0,2713340.0,2654485.0,2530032.0,2339799.0,2297457.0,2152026.0,2072895.0,83,False,Before You Go,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,0.459,0.575,3.0,-4.858,1.0,0.0573,0.604,0.0,0.0885,0.183,111.881,215107.0,4.0
3jjujdWJ72nww5eGnfs2E7,364,6.0,36.0,34891188.0,4853740.0,4470208.0,4674026.0,3696792.0,3023899.0,2422758.0,2093495.0,2135728.0,1994814.0,1974760.0,1744388.0,1806580.0,83,False,Adore You,Harry Styles,6KImCVD70vtIoJWnq6nGn3,0.676,0.771,8.0,-3.675,1.0,0.0483,0.0237,7e-06,0.102,0.569,99.048,207133.0,4.0
7qEHsqek33rTcFNT9PFqLf,365,15.0,28.0,34796300.0,3456835.0,3219443.0,3275346.0,2926806.0,2997995.0,2956086.0,2863125.0,2776373.0,2589833.0,2659410.0,2575193.0,2499855.0,86,False,Someone You Loved,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,0.501,0.405,1.0,-5.679,1.0,0.0319,0.751,0.0,0.105,0.446,109.891,182161.0,4.0
7eJMfftS33KTjuF7lTsMCx,322,4.0,37.0,34427226.0,,1608919.0,5197483.0,5964530.0,5081760.0,4026328.0,3373183.0,2745671.0,1968870.0,1593449.0,1393334.0,1473699.0,84,False,death bed (coffee for your head),"Powfu, beabadoobee","6bmlMHgSheBauioMgKv2tn, 35l9BRT7MXmM8bv2WDQiyB",0.726,0.431,8.0,-8.765,0.0,0.135,0.731,0.0,0.696,0.348,144.026,173333.0,4.0
4umIPjkehX1r7uhmGvXiSV,319,2.0,37.0,34301494.0,,3728378.0,6309307.0,4953748.0,4120308.0,3528834.0,3124251.0,2383777.0,1575389.0,1592625.0,1474328.0,1510549.0,76,False,Intentions (feat. Quavo),"Justin Bieber, Quavo","1uNFoZAHBGtllmzznpCI3s, 0VRj0yCOv2FXJNP47XQnx5",0.806,0.546,9.0,-6.637,1.0,0.0575,0.3,0.0,0.102,0.874,147.986,212867.0,4.0
