track_id,times_in_daily_chart,top_peak_pos,avg_chart_pos,total_streams,January_streams,February_streams,March_streams,April_streams,May_streams,June_streams,July_streams,August_streams,September_streams,October_streams,November_streams,December_streams,popularity,explicit,name,artist_name,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0VjIjW4GlUZAMYd2vXMi3b,286,1.0,5.0,2865000.0,,,144975.0,348354.0,321789.0,294963.0,300880.0,299652.0,293113.0,286094.0,260139.0,315041.0,91,False,Blinding Lights,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,0.514,0.73,1.0,-5.934,1.0,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040.0,4.0
0nbXyq5TXYPCO7pr3N8S4I,366,1.0,23.0,2796151.0,346648.0,378416.0,380655.0,303414.0,257790.0,218592.0,190596.0,166326.0,140116.0,139839.0,119889.0,153870.0,83,True,The Box,Roddy Ricch,757aE44tKEUQEqRuT6GnEB,0.896,0.586,10.0,-6.687,0.0,0.0559,0.104,0.0,0.79,0.642,116.971,196653.0,4.0
1rgnBhdG2JDFTbYkYRZAku,366,1.0,20.0,2594449.0,383501.0,317806.0,290508.0,224200.0,189560.0,181148.0,184084.0,177809.0,162360.0,161839.0,145148.0,176486.0,77,False,Dance Monkey,Tones And I,2NjfBq1NflQcKSeiDooVjY,0.826,0.593,6.0,-6.401,0.0,0.0976,0.688,0.000161,0.17,0.541,98.083,209755.0,4.0
7ytR5pFWmSjzHJIeQkgog4,259,1.0,8.0,2492027.0,,,,81208.0,283732.0,345600.0,392841.0,350067.0,302340.0,274105.0,219843.0,242291.0,84,True,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch","4r63FhuTkUYltbVAg5TQnk, 757aE44tKEUQEqRuT6GnEB",0.746,0.69,11.0,-7.956,1.0,0.164,0.247,0.0,0.101,0.497,89.977,181733.0,4.0
7qEHsqek33rTcFNT9PFqLf,366,9.0,21.0,2175344.0,173710.0,174193.0,173431.0,165879.0,173747.0,175877.0,186318.0,190648.0,187075.0,196124.0,185739.0,192603.0,86,False,Someone You Loved,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,0.501,0.405,1.0,-5.679,1.0,0.0319,0.751,0.0,0.105,0.446,109.891,182161.0,4.0
21jGcNKet2qwijlDFuPiPb,365,2.0,27.0,2150212.0,262312.0,227157.0,225512.0,197388.0,192890.0,170753.0,160898.0,151198.0,137949.0,140534.0,133019.0,150602.0,86,False,Circles,Post Malone,246dkjvS1zLTtiykXe5h60,0.695,0.762,0.0,-3.497,1.0,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280.0,4.0
2b8fOow8UzyDFAE27YhOZM,365,2.0,28.0,2029525.0,253187.0,200320.0,194940.0,168939.0,154499.0,146138.0,153500.0,159326.0,152429.0,155618.0,141433.0,149196.0,85,False,Memories,Maroon 5,04gDigrS5kc9YWfZHwBETP,0.764,0.32,11.0,-7.209,1.0,0.0546,0.837,0.0,0.0822,0.575,91.019,189486.0,4.0
6UelLqGlWMcVH1E5c4H7lY,366,8.0,41.0,1906300.0,128666.0,91376.0,90252.0,69598.0,83657.0,154858.0,195531.0,219034.0,228606.0,227036.0,203687.0,213999.0,88,False,Watermelon Sugar,Harry Styles,6KImCVD70vtIoJWnq6nGn3,0.548,0.816,0.0,-4.209,1.0,0.0465,0.122,0.0,0.335,0.557,95.39,174000.0,4.0
22LAwLoDA5b4AaGSkg6bKW,314,5.0,27.0,1858569.0,,37597.0,155413.0,238985.0,231878.0,208695.0,212850.0,190597.0,161653.0,155143.0,122631.0,143127.0,78,True,Blueberry Faygo,Lil Mosey,5zctI4wO9XSKS8XwcnqEHk,0.774,0.554,0.0,-7.909,1.0,0.0383,0.207,0.0,0.132,0.349,99.034,162547.0,4.0
70eFcWOvlMObDhURTqT4Fv,365,7.0,33.0,1830994.0,184624.0,164245.0,167326.0,151088.0,147283.0,145387.0,151306.0,156769.0,146864.0,146876.0,134169.0,135057.0,74,False,Beautiful People (feat. Khalid),"Ed Sheeran, Khalid","6eUKZXaKkcviH0Ku9w2n3V, 6LuN9FCkKOj5PcnpouEgny",0.64,0.647,5.0,-8.114,0.0,0.186,0.124,0.0,0.0801,0.546,92.979,197867.0,4.0
